UOID,Parent,Label,OrgName,ProgramName,Adjusted,Normalized,Outcomes,CPO,Efficacy,Evidence,Definition,OtherOutcomes,Budget,Reach,Type
9654,Z04.03.09,Pangea Legal Services,Pangea Legal Services,South Bay Access to Counsel Project,200,0.33%,200,$253 ,100.00%,Needs Improvement,,Improved Immigration Status,"$50,598 ",200 individuals,Program
9691,Z04.03.09,API Legal Outreach,API Legal Outreach,CRISP,135,0.22%,135,$430 ,97.00%,Needs Improvement,,None Listed,"$57,945 ",139 individuals,Program
9706,Z04.02.03,Islamic Networks Group (ING),Islamic Networks Group (ING),Know Your Neighbor-Multifaith Encounters,5000,8.25%,"5,000,000",$1 ,100.00%,Needs Improvement,,Organizational Reach; Design New or Improved Products and Services; Cultural Educational Experiences; Societal Participation; Cultural Traditions and Heritage,"$221,421 ","5,000,000 individuals",Program
9729,Z06.01.03,New Schools for Chicago,New Schools for Chicago,Kids First Chicago: A Campaign to Support Parents in their quest for great public schools,2892,1.16%,"2,892",$473 ,90.00%,Needs Improvement,,Form Coalitions; Issue Awareness,"$1,366,970 ","3,213 individuals",Program
9799,Z03.05.03,Shepherds of Good Hope,Shepherds of Good Hope,Women & Gender Divesere Services,100,0.03%,8,"$65,569 ",9.40%,Needs Improvement,,Access to Services and Supports; Housing Stability,"$523,900 ",85 individuals,Program
9865,Z05.04.02,Nevada Coalition to End Domes…,Nevada Coalition to End Domestic and Sexual Violence,LIFE Microloan Program,100,0.05%,66,$687 ,72.00%,Needs Improvement,,"Survivor Well-Being, Independence, and Financial Empowerment; Financial Resilience","$45,000 ",91 individuals,Program
9894,Z05.04.02,Georgia Coalition Against Dom…,Georgia Coalition Against Domestic Violence,Empowering Marginalized Survivors of Domestic Violence,100,0.05%,38,"$1,316 ",50.00%,Needs Improvement,,"Survivor Well-Being, Independence, and Financial Empowerment; Prevent Intimate Partner Violence; Financial Resilience; Economic Well-Being","$50,000 ",76 individuals,Program
10014,Z05.04.02,NMCADV,NMCADV,Purple PURSE New Mexico,100,0.05%,96,$571 ,86.00%,Needs Improvement,,"Survivor Well-Being, Independence, and Financial Empowerment; Economic Well-Being","$55,000 ",112 individuals,Program
10027,Z05.04.02,Habitat for Humanity of Michi…,Habitat for Humanity of Michigan,Financial Coaching,426,0.21%,426,$498 ,70.00%,Needs Improvement,,Organizational Reach; Financial Independence; Reduce Homelessness; Economic Well-Being; Financial Sustainability,"$211,744 ",608 individuals,Program
10041,Z06.03.03,By The Hand Club For Kids,By The Hand Club For Kids,Literacy Intervention,100,0.04%,91,"$2,597 ",61.00%,Needs Improvement,,School Engagement and Persistence,"$236,000 ",149 individuals,Program
10076,Z03.03.03,First Baptist Church of Marco…,First Baptist Church of Marco (Family Church),Family Church Food Pantry,5000,1.29%,"20,027",$12 ,100.00%,Needs Improvement,,Access to Nutritious Food,"$244,096 ","20,027 individuals",Program
10604,Z06.03.02,VocaÛÎ_ÛÎ£o - AÛÎ_ÛÎ£o Co…,VocaÛÎ_ÛÎ£o - AÛÎ_ÛÎ£o ComunitÛÎria do Brasil SÛÎ£o Paulo,Project Numeracy 3rd Phase,248,0.10%,248,$1 ,75.00%,Needs Improvement,,STEM Persistence; Effective Teachers,$35 ,330 individuals,Program
10624,Z05.03.01,EmployIndy,EmployIndy,Re-engaging Opportunity Youth on the Far Eastside,134,0.06%,134,"$1,379 ",60.00%,Needs Improvement,,Design New or Improved Products and Services; Acquire Employment; High School Completion,"$184,462 ",223 individuals,Program
10626,Z05.03.03,Upwardly Global,Upwardly Global,Job Seeker Services,284,0.14%,284,"$5,793 ",58.00%,Needs Improvement,,Career Advancement; Job Readiness; Return to Work; Job Quality,"$1,646,327 ",490 individuals,Program
10633,Z06.05.04,MetroSquash,MetroSquash,College & Careers,100,0.04%,37,"$1,054 ",74.00%,Needs Improvement,,College Access and Readiness; College Persistence and Completion,"$39,000 ",50 individuals,Program
10749,Z12.01.04,Community Theatre of Greensbo…,Community Theatre of Greensboro,CTG Youth Education and Outreach,350,0.22%,350,$454 ,100.00%,Needs Improvement,,Social Competence; Reach Diverse Audiences; Enhance Arts Appreciation; Reduce Stigma; Reduce Risky Behavior,"$158,930 ",350 individuals,Program
10751,Z01.01.02,TheaterWorks,TheaterWorks,Impacting Education with Theater,3177,1.21%,"3,177",$99 ,100.00%,Needs Improvement,,Enhance Arts Appreciation,"$313,632 ","3,177 individuals",Program
10752,Z06.04.01,"Girls Who Code, Inc.","Girls Who Code, Inc.",2018 Girls Who Code Summer Immersion Program - NYC,100,0.04%,21,"$3,571 ",100.00%,Needs Improvement,,None Listed,"$75,000 ",21 individuals,Program
10754,Z03.06.01,WindReach Bermuda,WindReach Bermuda,Adult Day Programme,100,0.03%,21,"$17,467 ",70.00%,Needs Improvement,,Aging Awareness and Social Support; Caregiver Well-Being; Mental and Physical Well-Being; Personal Independence and Condition Management; Reduce Stigma,"$366,806 ",30 individuals,Program
10755,Z03.02.02,WindReach Bermuda,WindReach Bermuda,Adaptive Sports Programme,100,0.03%,73,"$2,410 ",94.80%,Reliable: Best in Class,,Access to Services and Supports; Reduce Stigma; Social Competence; Social and Emotional Skills; Reduce Stigma,"$175,925 ",77 individuals,Program
10759,Z03.03.01,The ARK,The ARK,Rhea Segal Food Pantry,2500,0.65%,"2,500",$283 ,100.00%,Needs Improvement,,None Listed,"$708,066 ","2,500 individuals",Program
10774,Z01.01.02,Kimmel Center Inc.,Kimmel Center Inc.,Creative Stages,5000,1.90%,"16,898",$91 ,100.00%,Needs Improvement,,Enhance Arts Appreciation; Social and Emotional Skills,"$1,543,835 ","16,898 individuals",Program
10834,Z01.01.01,Currier Museum of Art,Currier Museum of Art,School Tour Program at the Currier Museum of Art 2018,5000,1.90%,"7,800",$12 ,100.00%,Needs Improvement,,Reach Diverse Audiences; Strengthen Creative Community,"$96,650 ","7,800 individuals",Program
10835,Z01.02.01,"Seven Stages, Inc.","Seven Stages, Inc.",7 Stages' Arts Learning,1020,0.39%,"1,020",$87 ,59.20%,Needs Improvement,,Strengthen Creative Community; Expose New Artistic Talent; Reach Diverse Audiences; Civic Engagement; Social and Emotional Skills,"$88,302 ","1,722 individuals",Program
10847,Z01.01.01,Musicopia,Musicopia,Musicopia Adopt-A-School and After-School Ensembles,5000,1.90%,"5,796",$72 ,84.00%,Reliable,,Social and Emotional Skills,"$418,380 ","6,900 individuals",Program
10855,Z08.01.02,P.A.L.S.,P.A.L.S.,In-Home Cancer Care and Support,300,0.21%,300,"$6,250 ",85.00%,Needs Improvement,,"Caregiver Well-Being; Affordable, Quality Healthcare; Mental and Physical Well-Being; End of Life Care; Communication and Transportation","$1,875,000 ",353 individuals,Program
10856,Z05.03.01,Council for Economic Education,Council for Economic Education,Invest In Girls,2000,0.97%,"2,000",$338 ,100.00%,Reliable: Best in Class,,Career Access and Readiness,"$676,000 ","2,000 individuals",Program
10874,Z08.06.04,Pathways Bermuda,Pathways Bermuda,Addiction Outpatient Program,100,0.07%,3,"$19,208 ",15.00%,Needs Improvement,,Prevent Substance Abuse; Patient Quality of Life,"$57,625 ",20 individuals,Program
10876,Z06.02.03,BSMART Development Foundation,BSMART Development Foundation,S.M.A.R.T. Pre-K,100,0.04%,11,"$10,909 ",91.70%,Reliable: Best in Class,,None Listed,"$120,000 ",12 individuals,Program
10884,Z01.01.02,El Museo Latino,El Museo Latino,"Exhibit ""Tradition of Natural Colors - Tradicion de Tintes Naturales""",5000,1.90%,"20,000",$4 ,80.00%,Needs Improvement,,Expose New Artistic Talent; Reach Diverse Audiences; Strengthen Creative Community; Strengthen Individual Creativity Skills,"$70,000 ","25,000 individuals",Program
10885,Z06.04.01,"Girls Who Code, Inc.","Girls Who Code, Inc.",2018 Girls Who Code Summer Immersion Program - SF,100,0.04%,20,"$3,750 ",100.00%,Needs Improvement,,None Listed,"$75,000 ",20 individuals,Program
10897,Z03.02.02,WindReach Bermuda,WindReach Bermuda,Life Skills,100,0.03%,82,"$2,749 ",92.10%,Reliable: Best in Class,,Academic Performance; Manage Mental Health; Access to Services and Supports; Social Competence; Academic Habits of Mind,"$225,378 ",89 individuals,Program
10899,Z03.02.02,WindReach Bermuda,WindReach Bermuda,Therapeutic Riding,100,0.03%,60,"$6,480 ",96.00%,Reliable: Best in Class,,Manage Mental Health; Academic Performance; Social Competence; Academic Habits of Mind; Reduce Stigma,"$385,689 ",62 individuals,Program
10900,Z03.02.02,The Bermuda Society for the B…,The Bermuda Society for the Blind,Vision Rehabilitation Therapy for those in financial need,100,0.03%,20,"$11,173 ",50.00%,Reliable: Best in Class,,Social Competence; Reduce Stigma,"$223,457 ",40 individuals,Program
10902,Z06.02.02,Tomorrow’s Voices,Tomorrow’s Voices,Therapeutic Autism Intervention Program for Clients Under/Un-insured and Under the Age of 8.,100,0.04%,13,"$44,615 ",86.70%,Needs Improvement,,Academic Performance; Independent Living Skills; Social and Emotional Skills; School Readiness; Parental Readiness,"$580,000 ",15 individuals,Program
10905,Z03.06.04,Bermuda Housing Trust,Bermuda Housing Trust,Seniors Housing Programme,194,0.05%,194,$830 ,100.00%,Needs Improvement,,None Listed,"$161,000 ",194 individuals,Program
10958,Z03.02.03,Saint Catherine Center,Saint Catherine Center,Adult Service Program,100,0.03%,13,"$50,781 ",80.00%,Needs Improvement,,Reduce Stigma,"$650,000 ",16 individuals,Program
10974,Z05.02.03,Village Capital,Village Capital,Money Matters (Working Title),100,0.05%,11,"$50,518 ",100.00%,Needs Improvement,,Business and Enterprise Development; Influential Research; Strengthen Innovation Skills; A Culture of Innovation,"$555,700 ",11 organizations,Program
10976,Z05.03.01,Prep for Prep,Prep for Prep,Prep for Prep Professional Advancement Summer Internship Program,138,0.07%,138,"$4,683 ",99.30%,Needs Improvement,,Career Advancement,"$646,315 ",139 individuals,Program
10982,Z06.03.02,NFTE (Network for Teaching En…,NFTE (Network for Teaching Entrepreneurship),World Series of Innovation,383,0.15%,383,$783 ,58.90%,Needs Improvement,,Civic Engagement; Social and Emotional Skills; Career Access and Readiness,"$300,000 ",650 individuals,Program
11003,Z03.06.05,Age Concern Bermuda,Age Concern Bermuda,Client Services,150,0.04%,150,$767 ,100.00%,Needs Improvement,,Aging Awareness and Social Support,"$115,000 ",150 individuals,Program
11004,Z01.01.02,Joslyn Art Museum,Joslyn Art Museum,To provide museum access to schools and the underserved,5000,1.90%,"47,069",$5 ,100.00%,Needs Improvement,,Enhance Arts Appreciation,"$247,051 ","47,069 individuals",Program
11005,Z01.01.02,"Artreach, Inc.","Artreach, Inc.",Core Programs,5000,1.90%,"184,712",$2 ,100.00%,Needs Improvement,,None Listed,"$459,000 ","184,712 individuals",Program
11008,Z01.01.02,"Dance Project, Inc.","Dance Project, Inc.",Dance Project Community Engagment Program,2000,0.76%,"2,000",$8 ,100.00%,Needs Improvement,,Social and Emotional Skills; Physical Fitness,"$16,400 ","2,000 individuals",Program
11009,Z01.01.01,Fort Wayne Philharmonic Orche…,"Fort Wayne Philharmonic Orchestra, Inc.",2018 Philharmonic Youth Music Education Programs,5000,1.90%,"29,083",$13 ,90.00%,Needs Improvement,,Reach Diverse Audiences,"$371,233 ","32,314 individuals",Program
11010,Z01.01.02,Arden Theatre Company,Arden Theatre Company,Arden for All (AFA),2200,0.84%,"2,200",$136 ,100.00%,Needs Improvement,,Social and Emotional Skills,"$300,124 ","2,200 individuals",Program
11013,Z04.02.02,Taller Puertorriqueño,Taller Puertorriqueño,Art Education for at risk children and youth,1780,2.94%,"1,780",$334 ,89.00%,Reliable,,Enhance Arts Appreciation; Ethnic or Religious Pride; Academic Performance; College Access and Readiness; Academic Habits of Mind,"$594,000 ","2,000 individuals",Program
11016,Z03.02.03,Omaha Theater Company,Omaha Theater Company,Camp Munroe/Munroe-Meyer Institute Partnership,100,0.03%,12,$125 ,100.00%,Needs Improvement,,Enhance Arts Appreciation; Reach Diverse Audiences,"$1,500 ",12 individuals,Program
11017,Z01.01.02,"Eastern Music Festival, Inc.","Eastern Music Festival, Inc.",2018 Eastern Music Festival - Bridge Building,4500,1.71%,"4,500",$14 ,100.00%,Needs Improvement,,Strengthen Creative Community; Expose New Artistic Talent; Enhance Arts Appreciation; Strengthen Individual Creativity Skills,"$62,800 ","4,500 individuals",Program
11018,Z01.01.02,Fort Wayne Ballet,Fort Wayne Ballet,A Stronger Community Partner and Community Organization,5000,1.90%,"16,207",$13 ,100.00%,Needs Improvement,,Enhance Arts Appreciation,"$216,277 ","16,207 individuals",Program
11019,Z12.01.04,Hartford Stage Company,Hartford Stage Company,Connections,440,0.27%,440,$655 ,80.30%,Needs Improvement,,Effective Teachers; Academic Habits of Mind,"$288,000 ",548 individuals,Program
11020,Z01.01.02,United Arts Council of Greate…,United Arts Council of Greater Greensboro dba ArtsGreensboro,Arts Access and Development Program and National Folk Festival,5000,1.90%,"487,500",$8 ,75.00%,Needs Improvement,,Enhance Arts Appreciation,"$3,780,000 ","650,000 individuals",Program
11021,Z01.01.02,The Clay Studio,The Clay Studio,Claymobile,3186,1.21%,"3,186",$92 ,100.00%,Needs Improvement,,Enhance Arts Appreciation,"$292,105 ","3,186 individuals",Program
11022,Z01.01.02,The Music Academy of North Ca…,The Music Academy of North Carolina,Lessons for Life Outreach Program,5000,1.90%,"6,100",$7 ,100.00%,Needs Improvement,,Enhance Arts Appreciation; Strengthen Individual Creativity Skills,"$44,350 ","6,100 individuals",Program
11025,Z01.02.01,"Fort Wayne Children's Choir, …","Fort Wayne Children's Choir, Inc.",Fort Wayne Children's Choir,1358,0.52%,"1,358",$292 ,94.00%,Reliable: Best in Class,,Reach Diverse Audiences; Enhance Arts Appreciation,"$396,718 ","1,445 individuals",Program
11027,Z01.01.02,Foundation for Art and Music …,"Foundation for Art and Music In Elementary Education, Inc.",FAME Multicultural Visiting Artist Program for Elementary/Middle School Students,3500,1.33%,"3,500",$7 ,92.00%,Needs Improvement,,None Listed,"$25,500 ","3,803 individuals",Program
11033,Z01.02.01,Philadelphia Mural Arts Advoc…,Philadelphia Mural Arts Advocates,Art Education for Youth,1900,0.72%,"1,900",$847 ,97.30%,Reliable: Best in Class,,Social and Emotional Skills; Civic Engagement,"$1,608,678 ","1,953 individuals",Program
11034,Z01.02.01,Triad Stage,Triad Stage,Triad Stage Learning Program,5000,1.90%,"10,934",$14 ,100.00%,Needs Improvement,,Social and Emotional Skills; Enhance Arts Appreciation; Reach Diverse Audiences; Academic Habits of Mind,"$155,393 ","10,934 individuals",Program
11035,Z01.02.01,Greater Hartford Arts Council,Greater Hartford Arts Council,Neighborhood Studios,100,0.04%,97,"$1,577 ",97.00%,Needs Improvement,,Social and Emotional Skills; Career Access and Readiness,"$153,000 ",100 individuals,Program
